#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.ConceptLayer|identifier


#Text=Prefrontal cortical responses in children with prenatal alcohol-related neurodevelopmental impairment: A functional near-infrared spectroscopy study
#Text=Objective
#Text=Disruption in the neural activation of the prefrontal cortex (PFC) in modulating arousal was explored in children with heavy prenatal alcohol exposure (PAE), who have known neurobehavioral impairment.
1-1	0-10	Prefrontal	_
1-2	11-19	cortical	_
1-3	20-29	responses	_
1-4	30-32	in	_
1-5	33-41	children	_
1-6	42-46	with	_
1-7	47-55	prenatal	_
1-8	56-71	alcohol-related	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[1]
1-9	72-90	neurodevelopmental	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[1]
1-10	91-101	impairment	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[1]
1-11	101-102	:	_
1-12	103-104	A	_
1-13	105-115	functional	http://maven.renci.org/NeuroBridge/neurobridge#FunctionalNearInfraredSpectroscopy[2]
1-14	116-129	near-infrared	http://maven.renci.org/NeuroBridge/neurobridge#FunctionalNearInfraredSpectroscopy[2]
1-15	130-142	spectroscopy	http://maven.renci.org/NeuroBridge/neurobridge#FunctionalNearInfraredSpectroscopy[2]
1-16	143-148	study	_
1-17	149-158	Objective	_
1-18	159-169	Disruption	_
1-19	170-172	in	_
1-20	173-176	the	_
1-21	177-183	neural	_
1-22	184-194	activation	_
1-23	195-197	of	_
1-24	198-201	the	_
1-25	202-212	prefrontal	_
1-26	213-219	cortex	_
1-27	220-221	(	_
1-28	221-224	PFC	_
1-29	224-225	)	_
1-30	226-228	in	_
1-31	229-239	modulating	_
1-32	240-247	arousal	_
1-33	248-251	was	_
1-34	252-260	explored	_
1-35	261-263	in	_
1-36	264-272	children	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-37	273-277	with	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-38	278-283	heavy	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-39	284-292	prenatal	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-40	293-300	alcohol	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-41	301-309	exposure	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-42	310-311	(	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-43	311-314	PAE	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-44	314-315	)	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-45	315-316	,	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-46	317-320	who	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-47	321-325	have	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-48	326-331	known	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-49	332-347	neurobehavioral	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-50	348-358	impairment	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]
1-51	358-359	.	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[3]

#Text=Methods
#Text=During a task that elicits frustration, functional near-infrared spectroscopy (fNIRS) was used to measure PFC activation, specifically levels of oxygenated (HBO) and deoxygenated (HBR) hemoglobin, in children with PAE (n=18) relative to typically developing Controls (n=12) and a Clinical Contrast group with other neurodevelopmental or behavioral problems (n=14).
2-1	360-367	Methods	_
2-2	368-374	During	_
2-3	375-376	a	_
2-4	377-381	task	_
2-5	382-386	that	_
2-6	387-394	elicits	_
2-7	395-406	frustration	_
2-8	406-407	,	_
2-9	408-418	functional	http://maven.renci.org/NeuroBridge/neurobridge#FunctionalNearInfraredSpectroscopy[4]
